id-col,tweet_id,screen_name,tweet,polaridade,words,filtered,tf,features,label,rawPrediction,probability,prediction
0,"1,10735E+18",colunadobroad,Visa e Cielo lançam opção para transferência instantânea de pagamento @estadao:  https://t.co/J1GmyAC7YK https://t.co/FLhx8TRL2e,0,"['visa', 'e', 'cielo', 'lançam', 'opção', 'para', 'transferência', 'instantânea', 'de', 'pagamento', '@estadao:', '', 'https://t.co/j1gmyac7yk', 'https://t.co/flhx8trl2e']","['visa', 'e', 'cielo', 'lançam', 'opção', 'para', 'transferência', 'instantânea', 'de', 'pagamento', '@estadao:', '', 'https://t.co/j1gmyac7yk', 'https://t.co/flhx8trl2e']","(65536,[3021,7729,17222,23992,28313,29126,35703,36449,36753,40059,41380,51818,52572,55182],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[3021,7729,17222,23992,28313,29126,35703,36449,36753,40059,41380,51818,52572,55182],[0.0,0.0,1.5182219041624387,0.0,0.0,1.9204870095399322,3.432583695482826,0.44193679431211436,0.0,3.977810745966149,2.3053980343706604,0.0,1.4441139320087168,0.0])",0.0,"[-95.32967414237959,-101.91606823973429,-119.88680760885245,-173.38868795646061,-173.51202154009542,-173.78560163928992,-172.11820173228105,-173.79600924904125,-173.78616935189334,-173.63062951321513,-170.33823401469647,-173.78723809570636,-171.72962569664736,-173.63556982902205,-173.78560163928992,-173.7872193895614]","[0.9986228954487767,0.001377104529627259,2.1596032037010092e-11,1.255459064424334e-34,1.1097865621134936e-34,8.441607092207678e-35,4.4726788224625985e-34,8.354205748386362e-35,8.436816045565832e-35,9.856634978802498e-35,2.6521487032194783e-33,8.427804067221379e-35,6.596660617211436e-34,9.808060175444036e-35,8.441607092207678e-35,8.427961720420582e-35]",0.0
1,1000720336005009410,colunadobroad,"Sem combustível, BR Distribuidora cancela almoço para apresentação de CRA @estadao:  https://t.co/Vf1oGuCuhm https://t.co/JUJEwMCCde",-1,"['sem', 'combustível,', 'br', 'distribuidora', 'cancela', 'almoço', 'para', 'apresentação', 'de', 'cra', '@estadao:', '', 'https://t.co/vf1ogucuhm', 'https://t.co/jujewmccde']","['sem', 'combustível,', 'br', 'distribuidora', 'cancela', 'almoço', 'para', 'apresentação', 'de', 'cra', '@estadao:', '', 'https://t.co/vf1ogucuhm', 'https://t.co/jujewmccde']","(65536,[3921,4519,14361,24002,29126,35628,36449,39755,41380,46062,52572,57578,60190,60258],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[3921,4519,14361,24002,29126,35628,36449,39755,41380,46062,52572,57578,60190,60258],[0.0,5.58724865840025,6.057252287645985,3.816542598370027,1.9204870095399322,0.0,0.44193679431211436,0.0,2.3053980343706604,5.268794927281715,1.4441139320087168,0.0,0.0,0.0])",2.0,"[-213.6836234962817,-226.86894968084897,-230.73144073563495,-304.27513913670066,-304.3967154222578,-304.6653431410266,-304.4115968476756,-304.6839168415924,-304.6663562962233,-304.51568379170016,-302.6303918623355,-304.66826360520565,-302.6111771381296,-304.52450041229713,-304.6653431410266,-304.6682302217157]","[0.9999980825805267,1.8779531917894747e-06,3.946628172607196e-08,4.535276998796744e-40,4.016094352912017e-40,3.0700141097417555e-40,3.9567716423555566e-40,3.0135188738773818e-40,3.0669052841199127e-40,3.5656326762774818e-40,2.349137743798207e-39,3.061061323014804e-40,2.394712226032753e-39,3.534334022703514e-40,3.0700141097417555e-40,3.0611635136304455e-40]",0.0
2,1001857499815993347,colunadobroad,"Petrobrás prorroga seguro com Chubb, Tokio e BB Mapfre @estadao:  https://t.co/t1ye9ClwwC https://t.co/SdHzTS2fMh",1,"['petrobrás', 'prorroga', 'seguro', 'com', 'chubb,', 'tokio', 'e', 'bb', 'mapfre', '@estadao:', '', 'https://t.co/t1ye9clwwc', 'https://t.co/sdhzts2fmh']","['petrobrás', 'prorroga', 'seguro', 'com', 'chubb,', 'tokio', 'e', 'bb', 'mapfre', '@estadao:', '', 'https://t.co/t1ye9clwwc', 'https://t.co/sdhzts2fmh']","(65536,[2436,8717,17222,19880,23038,23499,26283,37981,40365,41380,52251,52572,55518],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[2436,8717,17222,19880,23038,23499,26283,37981,40365,41380,52251,52572,55518],[5.027632870464827,1.9046388172999087,1.5182219041624387,5.268794927281715,0.0,0.0,0.0,0.0,3.2599709528158325,2.3053980343706604,0.0,1.4441139320087168,6.280395838960195])",1.0,"[-205.87323038401456,-207.30627351770337,-253.7076243902455,-306.13168247825257,-306.53312570140434,-306.5217913099397,-305.1459414480163,-306.54048084145205,-306.52281078346397,-306.5339505316176,-305.14310974368806,-306.52472998697453,-306.5259336745885,-306.5428221352001,-306.5217913099397,-306.52469639529556]","[0.8073750284566082,0.19262497154339175,1.3578817479610549e-21,2.319438192890529e-44,1.5525236604961966e-44,1.5702206744055012e-44,6.215623416833407e-44,1.5411465230555435e-44,1.5686206917092856e-44,1.5512436200547818e-44,6.233249168246039e-44,1.5656130764071047e-44,1.563729701063975e-44,1.5375424670595478e-44,1.5702206744055012e-44,1.5656656688622894e-44]",0.0
3,1010858732878749696,colunadobroad,"Cabify passa a aceitar American Express, do Bradesco @estadao:  https://t.co/lo20TMrBjI https://t.co/lSmN3XtAxD",1,"['cabify', 'passa', 'a', 'aceitar', 'american', 'express,', 'do', 'bradesco', '@estadao:', '', 'https://t.co/lo20tmrbji', 'https://t.co/lsmn3xtaxd']","['cabify', 'passa', 'aceitar', 'american', 'express,', 'bradesco', '@estadao:', '', 'https://t.co/lo20tmrbji', 'https://t.co/lsmn3xtaxd']","(65536,[7764,14451,23929,25970,37069,41380,45709,52572,58496,60427],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[7764,14451,23929,25970,37069,41380,45709,52572,58496,60427],[0.0,6.280395838960195,0.0,0.0,0.0,2.3053980343706604,0.0,1.4441139320087168,2.8791984572980396,0.0])",1.0,"[-97.58518194375705,-101.16781727423752,-124.437691078559,-149.74898516735774,-150.1525280044182,-150.14711070064368,-150.15968497922643,-150.15604341396332,-150.14759796083652,-150.15292223430183,-150.1583315583045,-150.14851524946684,-150.14909055529378,-150.15716244179103,-150.14711070064368,-150.14849919423088]","[0.9729497274013833,0.02705027259649742,2.1193069298908617e-12,2.1559491113687215e-23,1.4400649438207656e-23,1.4478873822084507e-23,1.4297952291766162e-23,1.435011413590212e-23,1.447182056175988e-23,1.439497339076278e-23,1.4317316540572462e-23,1.4458551811865648e-23,1.4450236115022924e-23,1.4334064940276218e-23,1.4478873822084507e-23,1.4458783949190137e-23]",0.0
4,1011550972202635264,colunadobroad,"Na disputa por folhas de pagamentos, Santander aposta em agência móvel @estadao:  https://t.co/tfVLJrmlOU https://t.co/CLbPomkbXd",1,"['na', 'disputa', 'por', 'folhas', 'de', 'pagamentos,', 'santander', 'aposta', 'em', 'agência', 'móvel', '@estadao:', '', 'https://t.co/tfvljrmlou', 'https://t.co/clbpomkbxd']","['na', 'disputa', 'por', 'folhas', 'de', 'pagamentos,', 'santander', 'aposta', 'em', 'agência', 'móvel', '@estadao:', '', 'https://t.co/tfvljrmlou', 'https://t.co/clbpomkbxd']","(65536,[8872,13727,16396,20848,22692,25628,36449,39278,41380,45592,47566,52572,58033,59512,60875],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8872,13727,16396,20848,22692,25628,36449,39278,41380,45592,47566,52572,58033,59512,60875],[3.2599709528158325,0.0,0.0,3.1340907069268296,5.87493073085203,0.0,0.44193679431211436,6.057252287645985,2.3053980343706604,0.0,0.0,1.4441139320087168,1.766792846497594,4.622167762356662,2.4249431850204433])",1.0,"[-236.84448785053397,-239.66598108782327,-285.0544733842646,-354.07142221863586,-354.1923299329868,-354.45907349846556,-354.2097005741089,-354.4807540215192,-354.4602561241099,-354.31143541667694,-352.6882622110843,-352.66443711982265,-354.46387878918176,-354.3217267932084,-354.45907349846556,-354.4624435010785]","[0.9438262877076455,0.05617371229235439,1.090338580277941e-21,1.1584608001226672e-51,1.0265303394133003e-51,7.861882178831072e-52,1.0088528286318046e-51,7.6932668994143e-52,7.852590011014643e-52,9.112655143308796e-52,4.6193418355945515e-51,4.730719600661885e-51,7.82419417281848e-52,9.019354298564579e-52,7.861882178831072e-52,7.83543220861267e-52]",0.0
5,1012323442803269632,colunadobroad,Livelo e CVC fecham parceria para compras em lojas físicas @estadao:  https://t.co/jxWlbtbsuo https://t.co/OcQhIlCi5p,1,"['livelo', 'e', 'cvc', 'fecham', 'parceria', 'para', 'compras', 'em', 'lojas', 'físicas', '@estadao:', '', 'https://t.co/jxwlbtbsuo', 'https://t.co/ocqhilci5p']","['livelo', 'e', 'cvc', 'fecham', 'parceria', 'para', 'compras', 'em', 'lojas', 'físicas', '@estadao:', '', 'https://t.co/jxwlbtbsuo', 'https://t.co/ocqhilci5p']","(65536,[3003,10766,13903,17222,28172,29126,31488,36746,41321,41380,44415,52572,58033,64347],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[3003,10766,13903,17222,28172,29126,31488,36746,41321,41380,44415,52572,58033,64347],[0.0,6.057252287645985,4.894101477840304,1.5182219041624387,4.299394370093611,1.9204870095399322,5.36410510708604,0.0,0.0,2.3053980343706604,0.0,1.4441139320087168,1.766792846497594,0.0])",1.0,"[-245.19986027945123,-218.59259933383603,-249.15033068685844,-334.5322067313946,-334.93326864550914,-334.9208596569481,-333.54750407701744,-334.9413211156396,-334.92197578526793,-334.93417167666996,-329.6880758594669,-333.126031596858,-332.8671120584675,-334.94388438402757,-334.9208596569481,-334.92404016920256]","[2.783642078111835e-12,0.9999999999971629,5.357299100333828e-14,4.447011711663024e-51,2.977757293237835e-51,3.01493846267589e-51,1.190472046880149e-50,2.9538752752434734e-51,3.0115752816950405e-51,2.975069499376146e-51,5.647387399655299e-49,1.814522570717637e-50,2.350767628088627e-50,2.9463133958319957e-51,3.01493846267589e-51,3.0053646468386563e-51]",1.0
6,1012359979246862342,EstadaoEconomia,"Força de vendas da Boeing é crucial para a Embraer, diz fundador da brasileira https://t.co/OJoyaw3K4h https://t.co/ZVvIE38fgN",1,"['força', 'de', 'vendas', 'da', 'boeing', 'é', 'crucial', 'para', 'a', 'embraer,', 'diz', 'fundador', 'da', 'brasileira', 'https://t.co/ojoyaw3k4h', 'https://t.co/zvvie38fgn']","['força', 'de', 'vendas', 'da', 'boeing', 'é', 'crucial', 'para', 'embraer,', 'diz', 'fundador', 'da', 'brasileira', 'https://t.co/ojoyaw3k4h', 'https://t.co/zvvie38fgn']","(65536,[246,2756,4306,29126,36449,40855,40908,41867,43467,46257,48404,49634,60526,63296],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(65536,[246,2756,4306,29126,36449,40855,40908,41867,43467,46257,48404,49634,60526,63296],[3.905490084386523,3.492302930184448,5.720780051024772,1.9204870095399322,0.44193679431211436,0.0,0.0,6.280395838960195,5.101740842618549,2.0985744442112164,6.057252287645985,4.894101477840304,0.0,0.0])",1.0,"[-340.02477786306184,-343.6738627821483,-340.218909336658,-449.24778836001775,-440.86907691641045,-449.6305605800812,-449.389546540021,-441.0736972306897,-449.6320671170772,-449.48678577658035,-436.7352635304779,-449.6349032388821,-447.57839930538523,-441.78306972873827,-449.6305605800812,-449.6348535984493]","[0.5406678032874718,0.014065431622578742,0.44526676508994945,1.986002324447871e-48,8.645854008498158e-45,1.3543904706632917e-48,1.72351456201835e-48,7.045996522560593e-45,1.352351567539291e-48,1.5638118267017505e-48,5.3963516270289515e-43,1.3485215675112755e-48,1.0543534101632445e-47,3.4662977319382766e-45,1.3543904706632917e-48,1.3485885103670383e-48]",0.0
7,1014856387912925184,colunadobroad,Santander banca retrofit de elevadores da Atlas Schindler @estadao:  https://t.co/SMnk5SJhNC https://t.co/QCmJVjkkAe,1,"['santander', 'banca', 'retrofit', 'de', 'elevadores', 'da', 'atlas', 'schindler', '@estadao:', '', 'https://t.co/smnk5sjhnc', 'https://t.co/qcmjvjkkae']","['santander', 'banca', 'retrofit', 'de', 'elevadores', 'da', 'atlas', 'schindler', '@estadao:', '', 'https://t.co/smnk5sjhnc', 'https://t.co/qcmjvjkkae']","(65536,[5215,6022,7236,20848,21841,32502,33582,36449,41380,41884,46257,52572],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[5215,6022,7236,20848,21841,32502,33582,36449,41380,41884,46257,52572],[0.0,0.0,0.0,3.1340907069268296,0.0,0.0,5.36410510708604,0.44193679431211436,2.3053980343706604,0.0,1.0492872221056082,1.4441139320087168])",1.0,"[-98.35611149134657,-98.68285048181146,-111.42602505084893,-158.95251664114284,-159.07604404664292,-159.3501703705352,-159.0836610874171,-158.17299415226347,-159.35068895287705,-159.194612269712,-158.1754293835184,-159.35166520682318,-159.3522774945647,-158.44626982149495,-159.3501703705352,-159.35164811952157]","[0.5809650006940594,0.4190337748063846,1.2244995559202736e-06,2.801983606706474e-27,2.476385882494839e-27,1.8826377800299653e-27,2.4575948073018893e-27,6.1095314605475116e-27,1.88166173042408e-27,2.1995041943475466e-27,6.094671439719122e-27,1.8798256471220736e-27,1.878675005220063e-27,4.648638667116532e-27,1.8826377800299653e-27,1.879857768544322e-27]",0.0
8,1017755624115982336,colunadobroad,"BC vai aprovar aquisição de apenas 49,9% da XP pelo Itaú Unibanco @estadao:  https://t.co/nu7NwnWe25 https://t.co/NjntW4kRx8",0,"['bc', 'vai', 'aprovar', 'aquisição', 'de', 'apenas', '49,9%', 'da', 'xp', 'pelo', 'itaú', 'unibanco', '@estadao:', '', 'https://t.co/nu7nwnwe25', 'https://t.co/njntw4krx8']","['bc', 'vai', 'aprovar', 'aquisição', 'de', 'apenas', '49,9%', 'da', 'xp', 'pelo', 'itaú', 'unibanco', '@estadao:', '', 'https://t.co/nu7nwnwe25', 'https://t.co/njntw4krx8']","(65536,[6272,6934,8947,10686,17135,17977,22663,29326,29731,36449,37955,41380,46257,52542,52572,64728],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[6272,6934,8947,10686,17135,17977,22663,29326,29731,36449,37955,41380,46257,52542,52572,64728],[6.280395838960195,3.8380488035909903,0.0,4.77631844218392,0.0,0.0,4.83347685602387,6.057252287645985,3.7546671946519394,0.44193679431211436,2.93049175168559,2.3053980343706604,1.0492872221056082,0.0,1.4441139320087168,4.722251220913645])",0.0,"[-325.89206307568134,-350.2581565223364,-382.3956014896037,-477.20331066928804,-477.3225651993031,-477.58464979551013,-477.3460909550539,-470.3766013760202,-477.5862514728378,-477.44200972709893,-476.4348508309402,-477.589266700479,-477.5911577933959,-468.32654509525963,-477.58464979551013,-477.58921392516964]","[0.9999999999738218,2.617821743217202e-11,2.8895157019524157e-25,1.9335709837788517e-66,1.716202522074804e-66,1.320525043516001e-66,1.6762987839339153e-66,1.7830449667195142e-63,1.318411681407102e-66,1.5229808289777346e-66,4.169634500970803e-66,1.3144423572779931e-66,1.3119589735412935e-66,1.3851296509140534e-62,1.320525043516001e-66,1.3145117292105948e-66]",0.0
9,1018563517312589824,colunadobroad,"CSN anuncia aumento de 12,25% para o preço do aço @estadao:  https://t.co/PNg8sly7Ys https://t.co/ywNAKPtkAP",1,"['csn', 'anuncia', 'aumento', 'de', '12,25%', 'para', 'o', 'preço', 'do', 'aço', '@estadao:', '', 'https://t.co/png8sly7ys', 'https://t.co/ywnakptkap']","['csn', 'anuncia', 'aumento', 'de', '12,25%', 'para', 'o', 'preço', 'aço', '@estadao:', '', 'https://t.co/png8sly7ys', 'https://t.co/ywnakptkap']","(65536,[8908,10717,17060,29126,31753,36449,37191,41380,51218,52572,53063,53600,62239],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8908,10717,17060,29126,31753,36449,37191,41380,51218,52572,53063,53600,62239],[0.0,0.0,5.469465622743866,1.9204870095399322,5.58724865840025,0.44193679431211436,4.140329675463924,2.3053980343706604,0.0,1.4441139320087168,4.531195984150935,2.8626691553468286,4.57564774672177])",1.0,"[-259.7999869505513,-247.34136938372933,-298.65796247083813,-370.2083795647352,-375.78490764590174,-376.05083419713674,-352.02296790103526,-376.0738619132446,-376.05209030924857,-375.904072585632,-374.0214778449399,-376.05445499525285,-370.1291632750603,-375.9150034518543,-376.05083419713674,-376.0544136063263]","[3.884091494967262e-06,0.999996115908505,5.1699352675325596e-23,4.360474826420662e-54,1.6507389916844168e-56,1.2652838826442312e-56,3.446336822350196e-46,1.2364801989376733e-56,1.263695542010132e-56,1.4652972481736205e-56,9.627781855446236e-56,1.2607108291933874e-56,4.7199454685076707e-54,1.449367501554453e-56,1.2652838826442312e-56,1.2607630097411355e-56]",1.0
10,1019168932845051904,colunadobroad,"Com volatilidade, Itaú coloca mais um produto na prateleira da gestora @estadao:  https://t.co/XX257XCza3 https://t.co/xvGe1Oip1L",1,"['com', 'volatilidade,', 'itaú', 'coloca', 'mais', 'um', 'produto', 'na', 'prateleira', 'da', 'gestora', '@estadao:', '', 'https://t.co/xx257xcza3', 'https://t.co/xvge1oip1l']","['com', 'volatilidade,', 'itaú', 'coloca', 'mais', 'um', 'produto', 'na', 'prateleira', 'da', 'gestora', '@estadao:', '', 'https://t.co/xx257xcza3', 'https://t.co/xvge1oip1l']","(65536,[8717,15232,19940,22999,27320,37955,41380,41399,46257,48897,52327,52572,54574,60875,62888],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8717,15232,19940,22999,27320,37955,41380,41399,46257,48897,52327,52572,54574,60875,62888],[1.9046388172999087,0.0,0.0,0.0,0.0,2.93049175168559,2.3053980343706604,2.8383764627777843,1.0492872221056082,4.6709579265260945,0.0,1.4441139320087168,0.0,2.4249431850204433,5.87493073085203])",1.0,"[-186.30592666050933,-182.7279113788439,-202.6679906123311,-288.7629723422188,-281.05886432111237,-289.15397155224514,-285.36099797510786,-287.9848942927301,-289.1549319152716,-289.16542576527985,-287.9894040993112,-289.15673984068405,-289.1578737368102,-288.42092775540374,-289.15397155224514,-289.15670819669754]","[0.027172131600649196,0.9728278662703805,2.1289703960208597e-09,8.661520500528968e-47,1.9206389818520284e-43,5.858485215732484e-47,2.6004758973321345e-45,1.885858662560817e-46,5.852861643907566e-47,5.791763728555923e-47,1.8773729535885734e-46,5.842289666159315e-47,5.835668870895526e-47,1.2193888351273535e-46,5.858485215732484e-47,5.842474542419837e-47]",1.0
11,1024279915162742785,colunadobroad,"Com juro mais alto no cheque especial, Santander recorre ao BC @estadao:  https://t.co/oKn7xfG3rA https://t.co/I9sXhJ8pBJ",0,"['com', 'juro', 'mais', 'alto', 'no', 'cheque', 'especial,', 'santander', 'recorre', 'ao', 'bc', '@estadao:', '', 'https://t.co/okn7xfg3ra', 'https://t.co/i9sxhj8pbj']","['com', 'juro', 'mais', 'alto', 'cheque', 'especial,', 'santander', 'recorre', 'ao', 'bc', '@estadao:', '', 'https://t.co/okn7xfg3ra', 'https://t.co/i9sxhj8pbj']","(65536,[563,1427,4119,8717,20848,24672,29326,38396,39304,41380,41399,49018,52572,63162],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[563,1427,4119,8717,20848,24672,29326,38396,39304,41380,41399,49018,52572,63162],[0.0,0.0,3.774869901969459,1.9046388172999087,3.1340907069268296,0.0,6.057252287645985,0.0,6.057252287645985,2.3053980343706604,2.8383764627777843,0.0,1.4441139320087168,0.0])",0.0,"[-220.40358264795006,-205.5298383517702,-241.82790966494503,-311.7528414542538,-312.15420920701297,-312.1426621264775,-308.3517076394116,-312.1617023657542,-312.1437007303518,-312.1550495151081,-312.1665795866159,-312.14565594758335,-312.14688222231206,-312.1640875937173,-312.1426621264775,-312.14562172555884]","[3.470681622655421e-07,0.9999996529318375,1.721661525361353e-16,7.377950729834842e-47,4.938828554731146e-47,4.996188136322042e-47,2.2132445255625983e-45,4.901959433970793e-47,4.991001769723395e-47,4.934680160324995e-47,4.878109702636429e-47,4.981252810832404e-47,4.975148170141465e-47,4.890281076564102e-47,4.996188136322042e-47,4.981423282305111e-47]",1.0
12,1027160907502243840,colunadobroad,Santander Brasil galga liderança no mercado de dólar a termo @estadao:  https://t.co/50ac5kq4p4 https://t.co/1EQlraBZy1,1,"['santander', 'brasil', 'galga', 'liderança', 'no', 'mercado', 'de', 'dólar', 'a', 'termo', '@estadao:', '', 'https://t.co/50ac5kq4p4', 'https://t.co/1eqlrabzy1']","['santander', 'brasil', 'galga', 'liderança', 'mercado', 'de', 'dólar', 'termo', '@estadao:', '', 'https://t.co/50ac5kq4p4', 'https://t.co/1eqlrabzy1']","(65536,[3770,7589,12310,15002,20848,21324,30879,35492,36449,41380,52572,64020],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[3770,7589,12310,15002,20848,21324,30879,35492,36449,41380,52572,64020],[0.0,0.0,3.929020581796717,0.0,3.1340907069268296,5.469465622743866,0.0,3.1023420086122493,0.44193679431211436,2.3053980343706604,1.4441139320087168,0.0])",1.0,"[-147.27244746240856,-138.58410126606137,-169.19255933708942,-226.46780201804341,-226.59042295476732,-226.8619946874493,-226.6014149484145,-226.8757139376483,-226.86274304287713,-220.44183799863507,-226.8792281693923,-226.86415185470995,-226.8650354344576,-226.7156893767748,-226.8619946874493,-226.86412719637926]","[0.00016851012504796417,0.9998314898749012,5.091460408316329e-14,6.80018182272901e-39,6.015433482447751e-39,4.584846750526636e-39,5.949673952102669e-39,4.522375599354331e-39,4.5814169390942404e-39,2.8155513134474848e-36,4.5065108160546376e-39,4.5749671290505e-39,4.5709265660917144e-39,5.307187276104983e-39,4.584846750526636e-39,4.575079941493731e-39]",1.0
13,1027190198948511745,colunadobroad,CSN confirma alongamento de dívidas com a Caixa. Você leu antes todos os detalhes aqui 👇🏻👇🏻👇🏻 https://t.co/AU2NHjI4P2,1,"['csn', 'confirma', 'alongamento', 'de', 'dívidas', 'com', 'a', 'caixa.', 'você', 'leu', 'antes', 'todos', 'os', 'detalhes', 'aqui', '👇🏻👇🏻👇🏻', 'https://t.co/au2nhji4p2']","['csn', 'confirma', 'alongamento', 'de', 'dívidas', 'com', 'caixa.', 'você', 'leu', 'antes', 'todos', 'os', 'detalhes', 'aqui', '👇🏻👇🏻👇🏻', 'https://t.co/au2nhji4p2']","(65536,[8306,8660,8717,27373,29292,30064,31985,36449,37191,43844,47345,47538,49611,56346,64097,65171],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[8306,8660,8717,27373,29292,30064,31985,36449,37191,43844,47345,47538,49611,56346,64097,65171],[5.720780051024772,5.58724865840025,1.9046388172999087,5.181783550292085,0.0,4.894101477840304,0.0,0.44193679431211436,4.140329675463924,0.0,0.0,6.280395838960195,4.894101477840304,0.0,5.720780051024772,0.0])",1.0,"[-375.58422468328513,-386.131595636871,-449.3816249556951,-503.0724239457207,-503.1913311537431,-503.4524369344268,-503.2161500542637,-503.48341372688463,-503.45412665146216,-503.31084691223714,-503.4913485356973,-503.4573076177047,-503.459302658692,-503.3255510701644,-503.4524369344268,-503.4572519414847]","[0.9999737382543501,2.6261745649851205e-05,8.916304208226979e-33,4.291085293617319e-56,3.810012519602477e-56,2.934469520733736e-56,3.716615991598099e-56,2.844962544109622e-56,2.9295152844024037e-56,3.3808147022670266e-56,2.822477634943595e-56,2.920211400690829e-56,2.914391266888019e-56,3.331466370930419e-56,2.934469520733736e-56,2.920373991549485e-56]",0.0
14,1028622931235094528,colunadobroad,CSN contrata americano Jefferies para vender ativos em Portugal e Alemanha @estadao:  https://t.co/qjLu9jM0V6 https://t.co/T9wrJSVPdo,1,"['csn', 'contrata', 'americano', 'jefferies', 'para', 'vender', 'ativos', 'em', 'portugal', 'e', 'alemanha', '@estadao:', '', 'https://t.co/qjlu9jm0v6', 'https://t.co/t9wrjsvpdo']","['csn', 'contrata', 'americano', 'jefferies', 'para', 'vender', 'ativos', 'em', 'portugal', 'e', 'alemanha', '@estadao:', '', 'https://t.co/qjlu9jm0v6', 'https://t.co/t9wrjsvpdo']","(65536,[16021,17222,17329,18331,19208,29126,29211,37191,41380,46795,49598,52572,58033,60760,64061],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(65536,[16021,17222,17329,18331,19208,29126,29211,37191,41380,46795,49598,52572,58033,60760,64061],[5.469465622743866,1.5182219041624387,5.87493073085203,0.0,5.101740842618549,1.9204870095399322,0.0,4.140329675463924,2.3053980343706604,0.0,4.77631844218392,1.4441139320087168,1.766792846497594,0.0,0.0])",1.0,"[-278.63964250706016,-252.36202990833578,-297.94387406829424,-387.19115786409515,-387.59151277245957,-387.57711131518636,-386.2083805186714,-387.6008582000871,-387.5784066564005,-387.59256080023516,-382.3484545168072,-385.78279984410466,-385.5240919015389,-387.6038330436844,-387.57711131518636,-387.5808025113796]","[3.8705960652127015e-12,0.9999999999961293,1.5997665301120377e-20,2.7826188896324226e-59,1.8645833485261907e-59,1.8916303566529956e-59,7.434786591775253e-59,1.8472391903068258e-59,1.8891816361967793e-59,1.862630237023342e-59,3.528686453429897e-57,1.1378783795376785e-58,1.473843184589296e-58,1.8417521082808318e-59,1.8916303566529956e-59,1.8846608487053471e-59]",1.0
