,id,texto,polaridade,sentimento
0,1128984581330407424,RT @colunadobroad: Diretor afastado do BB é indicado para o Patagônia @estadao:  https://t.co/Lb1D94DIPE https://t.co/tlms2WZRG6,0,0
1,1128600913092857856,"Iguatemi vai repensar mix de lojistas para reverter queda na ocupação dos shoppings
https://t.co/ZTmlbuFU8r Foto: Gabriela Biló/Estadão https://t.co/35VEeDYjRH",1,-1
2,1128245224294293504,RT @colunadobroad: IRB Brasil Re busca incrementar negócios no México @colunadobroad:  https://t.co/BzCXlaCcBJ https://t.co/BcfR48AicM,1,0
3,1127542253159952384,RT @colunadobroad: Itaú Unibanco aposta em novo modelo de agências rumo ao banco do futuro @estadao:  https://t.co/v8dnYGS5XU https://t.co/…,1,1
4,1127153121363419137,Iguatemi fecha parceria com @iFood e acirra concorrência nas entregas via shoppings https://t.co/MjqqD85fzM Foto: Helvio Romero/Estadão https://t.co/tZif0Aj44U,1,1
5,1126927749791277059,"As três prioridades daqui em diante são segurança, pessoas e reparação, diz presidente interino da Vale https://t.co/3P9lMob9ll Foto: Wilton Júnior/Estadão https://t.co/6FRbZOSwC3",1,0
6,1126435268192559104,"Atacada, Cielo diz que não vai virar uma nova Kodak #maquininhas #cielo @AgenciaEstado :  https://t.co/RL4mYjAlYc https://t.co/CcoUFkz88o",0,1
7,1126078103917334529,"Fique de olho: Mercado olha Petrobras e balança chinesa, com Previdência no radar antes do Copom.",0,1
8,1125715108217466880,Fique de olho: Comércio dos EUA e China nutre cautela em meio à espera por Previdência e Petrobras,0,1
9,1124275377000603649,RT @colunadobroad: Tim deslancha na oferta de chamadas de voz pela rede 4G @estadao:  https://t.co/gPqTZUB6fZ https://t.co/hU0UWBU0vX,1,1
10,1123883457438994432,RT @colunadobroad: Santander e Bonsucesso avançam em negociações da Olé @colunadobroad:  https://t.co/6YDvh0gBQh https://t.co/gT8TNcJbjp,1,1
11,1123166798428495872,RT @colunadobroad: Caixa escolhe bancos para ofertas de BB e Alupar @estadao:  https://t.co/Rc9Sjn6lDY https://t.co/3VSzK8OpZX,0,0
12,1121366959512346627,Fique de olho: Mercado olha IPCA-15 e balanço do Bradesco antes de Previdência na comissão especial,0,0
13,1119922170493378560,RT @colunadobroad: Vice-presidente do Itaú BBA acompanha Milton Nascimento em turnê @estadao:  https://t.co/JQ9Nzsjkoi https://t.co/941nvu1…,0,0
14,1118545835875282946,RT @colunadobroad: Novo conselho do BB gera embate e pressiona CVM @estadao:  https://t.co/Z30X4WA2zh https://t.co/lkepJ9yiAv,0,0
15,1118105867893772288,"Fique de olho: mercado monitora ações a caminhoneiros, de olho em Petrobras e espera por Previdência",0,1
16,1117396430870712320,"RT @colunadobroad: Com inovabra habitat, do Bradesco, startups superam marca de R$ 600 mi @estadao:  https://t.co/HAb4pOXag9 https://t.co/B…",1,1
17,1116047779992829953,"Cade condena BR Distribuidora e Ipiranga por ajudarem cartel de postos em MG
https://t.co/0CfggCJ30G Foto: Tiago Queiroz/Estadão https://t.co/QAt4jtpozz",-1,-1
