,id,texto,polaridade,sentimento
0,1128984581330407424,@colunadobroad diretor afastado bb indicado patagônia @estadao,0,0
1,1128600913092857856,iguatemi vai repensar mix lojistas reveer queda ocupação shoppings foto gabriela biló/estadão,1,-1
2,1128245224294293504,@colunadobroad irb brasil re busca incrementar negócios méxico @colunadobroad,1,0
3,1127542253159952384,@colunadobroad itaú unibanco aposta novo modelo agências rumo banco futuro @estadao,1,1
4,1127153121363419137,iguatemi fecha parceria @ifood acirra concorrência entregas via shoppings foto helvio romero/estadão,1,1
5,1126927749791277059,"três prioridades daqui diante segurança, pessoas reparação, diz presidente interino vale foto wilton júnior/estadão",1,0
6,1126435268192559104,"atacada, cielo diz vai virar nova kodak #maquininhas #cielo @agenciaestado",0,1
7,1126078103917334529,"fique olho mercado olha petrobras balança chinesa, previdência radar antes copom",0,1
8,1125715108217466880,fique olho comércio eua china nutre cautela meio espera previdência petrobras,0,1
9,1124275377000603649,@colunadobroad tim deslancha ofea chamadas voz rede 4g @estadao,1,1
10,1123883457438994432,@colunadobroad santander bonsucesso avançam negociações olé @colunadobroad,1,1
11,1123166798428495872,@colunadobroad caixa escolhe bancos ofeas bb alupar @estadao,0,0
12,1121366959512346627,fique olho mercado olha ipca15 balanço bradesco antes previdência comissão especial,0,0
13,1119922170493378560,@colunadobroad vicepresidente itaú bba acompanha milton nascimento turnê @estadao,0,0
14,1118545835875282946,@colunadobroad novo conselho bb gera embate pressiona cvm @estadao,0,0
15,1118105867893772288,"fique olho mercado monitora ações caminhoneiros, olho petrobras espera previdência",0,1
16,1117396430870712320,"@colunadobroad inovabra habitat, bradesco, staups superam marca r$ 600 mi @estadao",1,1
17,1116047779992829953,cade condena br distribuidora ipiranga ajudarem cael postos mg foto tiago queiroz/estadão,-1,-1
18,1114855983799578624,@colunadobroad bradesco vai mudar sede banco atacado sp @estadao,0,0
19,1114855970339983360,@colunadobroad gpa turbina vendas ofeas via aplicativos extra pão açúcar @estadao,1,1
20,1114182676536340481,@colunadobroad itaú unibanco aposta reconhecimento facial crédito veículo @estadao,1,1
21,1112489813020688384,@broadpolitico ministério minas energia governo brasileiro negocia investimento petrobras leilão israel,1,0
22,1112039442213203969,"embraer lista série riscos podem afetar negócios brasil, eles, inceezas sobre implementação mudanças governo políticas públicas, regulações legislações, bem possíveis novos efeitos lava jato",-1,0
23,1111412573172228098,"jbs revee prejuízo lucro líquido r$ 563,2 milhões 4tri18 foto jf diorio/estadão",1,1
24,1111257220157718528,"eletrobras revee prejuízo lucro líquido r$ 13,348 bilhões 2018 foto wilton júnior/estadão",1,1
25,1108382414190059526,"ceo presidente empresa combinada @embraer @boeing john slattery, antes presidente embraer aviação comercial foto sergio castro/estadão",0,1
26,1106262498775310348,estado #rio cancela incentivos fiscais @brf_brasil @petrobras brf devolver r$ 300 mi fotos fabio motta dida sampaio/estadão,-1,-1
27,1105571655013801994,"após críticas, lava jato pede suspensão criação fundo dinheiro recuperado petrobras foto fabio motta/estadão",-1,-1
28,1105493208446971905,"empresário guilherme jesus paulus, pres grupo cvc turismo, fez delação premiada, levando @policiafederal @mpf_pgr deflagrar 3a fase investigação #descae propina r$ 39 mi grupo p/cancelar autuação r$ 161 mi @receitafederal carf",0,-1
29,1102238084681400320,@colunadobroad banco brasil pode ter nomes setor privado conselho @estadao,1,0
30,1101226132945420288,"@colunadobroad bônus externos vale resistem moody’s, mercado alea @estadao",1,0
31,1101072924180705280,"fique olho pib eua brasil, petrobras cautela geopolítica devem guiar negócios",0,1
32,1100708158736162816,fique olho cautela externa pode afetar humor antes guedes balanço petrobras,0,1
33,1100683082808594432,"@colunadobroad demanda r$ 5,5 bi, cosan levanta r$ 1,7 bi financiar opa comgás @estadao",1,1
34,1100352148825669636,mantida reunião acionistas embraer nesta terçafeira debater joint venture boeing companhia informou tribunal regional federal 3ª região revogou liminar ação pública contra age,1,0
35,1100321317256073216,"@colunadobroad demanda ação irb preço mercado supera ofea 1,3 vez @estadao",1,1
36,1098946173996535808,"número pessoas físicas investindo ações durante 2018, comparação 2017, aumentou 31%, destacou diretor relações mercado b3, daniel sonder",1,1
37,1098540051577876482,"@colunadobroad bb quer vender filial eua, ofea anima @estadao",-1,1
38,1097120035900981249,@colunadobroad santander pode ter rial comando global @estadao,0,1
39,1094631529114931206,@colunadobroad multimercado bilionário legacy capital chega plataforma itaú @estadao,1,1
40,1094008734605602816,"ibovespa acumula perda 2,57% semana, reforma previdência, vale exterior foco foto luana pavani/estadão",-1,1
41,1093448905059123200,"fique olho mercado deve ajustar copom menos dovish, previdência vale foco",0,1
42,1093082883550527489,"@colunadobroad além sócios, caixa escolhe bofa oferecer ações irb @estadao",0,0
43,1093082871995289600,@colunadobroad braskem reduz preço quao mês consecutivo @estadao,-1,1
44,1092718398864269313,@colunadobroad caixa seleciona banco vender ações irb fundo antes carnaval @estadao,1,1
45,1092718388374315008,@colunadobroad venda ações irb brasil re cogitada governo temer @estadao,1,0
46,1091993376948400128,@colunadobroad mapfre enxuga operação após rever casamento bb gestor deixa grupo @estadao,-1,0
47,1090548679604342785,fique olho vale leilão linha podem apoiar mercado interno meio fed diálogo euachina,1,1
48,1090186115041120259,"fique olho vale, brexit atritos euachina ficam foco mercados têm sinais mistos",0,1
49,1089481224849104896,"@colunadobroad bb bate recorde r$ 9,5 bi crédito fundo centrooeste @estadao",1,1
50,1087660427612426241,@colunadobroad externium glauco sabatini volta mineração usiminas @estadao,0,0
51,1086960546065408005,"@colunadobroad bb alcança r$ 11 bi consórcios 2018, alta 32% @estadao",1,1
52,1085931588704190464,@colunadobroad candido bracher toma si ouvidoria itaú unibanco @estadao,0,0
53,1085450218378809344,@colunadobroad casa civil barra basílio vicepresidência bb @estadao,0,0
54,1082581820171005953,@colunadobroad bb confirma mudanças alta cúpula @estadao,0,1
55,1080816037980004352,@colunadobroad irb lidera altas empresas ibrx 100 ano @estadao,1,1
56,1078590852061163520,fique olho petróleo dá fôlego bolsas pode ajudar petrobras dia agenda local robusta,1,0
57,1075708192523472896,@colunadobroad asset itaú alcança nova marca histórica r$ 651 bi sob gestão @estadao,1,1
58,1074314117861818369,"aumento médio 0,7% preço diesel refinarias passa valer hoje, informa petrobras",1,1
59,1074253961622900736,@colunadobroad bradesco capta us$ 300 mi ifc @estadao,1,1
60,1073511955846062083,@colunadobroad bb antecipa meta r$ 2 bi simulador investimentos @estadao,1,1
61,1073511940423602177,"@colunadobroad emissão r$ 1,2 bi, itaú unibanco estreia mercado lig @estadao",1,1
